01/01/2022,62326,12240-B0041-03,12240-B0041-03-Reg6,12240-B0041-03,1400-2330-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,62326,12240-B0041-03,12240-B0041-03-Reg6,12240-B0041-03,0800-1730-RT-12240-B0041-03,8:00,17:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,62326,12240-B0041-03,12240-B0041-03-Reg6,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5.0,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
04/01/2022,62326,12240-B0041-03,12240-B0041-03-Reg6,12240-B0041-03,0800-1730-PFT-12240-B0041-03,8:00,17:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
05/01/2022,62326,12240-B0041-03,12240-B0041-03-Reg6,12240-B0041-03,1400-2330-FT-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,62306,12240-B0041-03,12240-B0041-03-Reg7,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5.0,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,62306,12240-B0041-03,12240-B0041-03-Reg7,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5.0,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
04/01/2022,62306,12240-B0041-03,12240-B0041-03-Reg7,12240-B0041-03,0800-1730-RT-12240-B0041-03,8:00,17:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
05/01/2022,62306,12240-B0041-03,12240-B0041-03-Reg7,12240-B0041-03,1400-2330-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
06/01/2022,62306,12240-B0041-03,12240-B0041-03-Reg7,12240-B0041-03,1400-2330-FT-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
07/01/2022,62306,12240-B0041-03,12240-B0041-03-Reg7,12240-B0041-03,1400-2330-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
01/01/2022,58921,12240-B0041-03,12240-B0041-03-Reg8,12240-B0041-03,1400-2330-RT-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
02/01/2022,58921,12240-B0041-03,12240-B0041-03-Reg8,12240-B0041-03,1400-2330-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,58921,12240-B0041-03,12240-B0041-03-Reg8,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5.0,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,58921,12240-B0041-03,12240-B0041-03-Reg8,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5.0,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
06/01/2022,58921,12240-B0041-03,12240-B0041-03-Reg8,12240-B0041-03,1400-2330-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
07/01/2022,58921,12240-B0041-03,12240-B0041-03-Reg8,12240-B0041-03,1400-2330-FT-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
01/01/2022,62644,12240-B0041-03,12240-B0041-03-Reg9,12240-B0041-03,2300-0830-12240-B0041-03,23:00,8:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
02/01/2022,62644,12240-B0041-03,12240-B0041-03-Reg9,12240-B0041-03,2300-0830-12240-B0041-03,23:00,8:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,62644,12240-B0041-03,12240-B0041-03-Reg9,12240-B0041-03,2300-0830-12240-B0041-03,23:00,8:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,62644,12240-B0041-03,12240-B0041-03-Reg9,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5.0,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
04/01/2022,62644,12240-B0041-03,12240-B0041-03-Reg9,12240-B0041-03,2300-0830-12240-B0041-03,23:00,8:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
05/01/2022,62644,12240-B0041-03,12240-B0041-03-Reg9,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5.0,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
01/01/2022,64226,12240-B0041-03,12240-B0041-03-Reg10,12240-B0041-03,1400-2330-FT-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,64226,12240-B0041-03,12240-B0041-03-Reg10,12240-B0041-03,1400-2330-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,64226,12240-B0041-03,12240-B0041-03-Reg10,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5.0,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
04/01/2022,64226,12240-B0041-03,12240-B0041-03-Reg10,12240-B0041-03,1400-2330-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
05/01/2022,64226,12240-B0041-03,12240-B0041-03-Reg10,12240-B0041-03,1400-2330-RT-12240-B0041-03,14:00,23:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
01/01/2022,61711,12240-B0041-03,12240-B0041-03-Reg11,12240-B0041-03,10,8:00,17:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
02/01/2022,61711,12240-B0041-03,12240-B0041-03-Reg11,12240-B0041-03,10,8:00,17:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,61711,12240-B0041-03,12240-B0041-03-Reg11,12240-B0041-03,10,8:00,17:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,61711,12240-B0041-03,12240-B0041-03-Reg11,12240-B0041-03,1200-1545-Trn-12240-B0041-03,12:00,15:45,3.75,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,62320,12240-B0041-03,12240-B0041-03-Reg12,12240-B0041-03,0800-1730-12240-B0041-03,8:00,17:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
03/01/2022,62320,12240-B0041-03,12240-B0041-03-Reg12,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5.0,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
05/01/2022,62320,12240-B0041-03,12240-B0041-03-Reg12,12240-B0041-03,0800-1730-12240-B0041-03,8:00,17:30,9.5,0:00,0:00,R,N, , , ,N,N,N,N,N,N,N,N,N,N,N
